old_code,old_naam,new_code,new_naam,pct_retained,n_new_touched,n_old_mapping_here,change_type
BU05181785,Kerketuinen en Zichtenburg,BU05181785,Kerketuinen en Zichtenburg,100.0,1,1,unchanged
BU05181786,Houtwijk,BU05181786,Houtwijk,100.0,3,1,unchanged
BU05181795,Kom Loosduinen,BU05181795,Kom Loosduinen,100.0,1,1,unchanged
BU05181806,Waldeck-Zuid,BU05181806,Waldeck-Zuid,100.0,1,1,unchanged
BU05181840,Nieuw Waldeck,BU05181840,Nieuw Waldeck,100.0,1,1,unchanged
BU05181882,Rosenburg,BU05181882,Rosenburg,100.0,3,1,unchanged
BU05181893,Componistenbuurt,BU05181893,Componistenbuurt,100.0,2,1,unchanged
BU05181894,Waldeck-Noord,BU05181894,Waldeck-Noord,100.0,1,1,unchanged
BU05181953,Vruchtenbuurt,BU05181953,Vruchtenbuurt,100.0,1,1,unchanged
BU05181983,Eykenduinen,BU05181983,Eykenduinen,100.0,2,1,unchanged
BU05182054,Heesterbuurt,BU05182054,Heesterbuurt,100.0,1,1,unchanged
BU05182055,Valkenboskwartier,BU05182055,Valkenboskwartier,100.0,1,1,unchanged
BU05182110,Rond de Energiecentrale,BU05182110,Rond de Energiecentrale,100.0,2,1,unchanged
BU05182144,Koningsplein en omgeving,BU05182144,Koningsplein e.o.,100.0,2,1,unchanged
BU05182245,Zeeheldenkwartier,BU05182245,Zeeheldenkwartier,100.0,2,1,unchanged
BU05182347,Willemspark,BU05182347,Willemspark,100.0,3,1,unchanged
BU05182449,Haagse Bos,BU05182449,Haagse Bos,100.0,1,1,unchanged
BU05182561,Landen,BU05182561,Landen,100.0,1,1,unchanged
BU05182567,Kampen,BU05182567,Kampen,100.0,1,1,unchanged
BU05182568,Marlot,BU05182568,Marlot,100.0,1,1,unchanged
BU05182569,Burgen en Horsten,BU05182569,Burgen en Horsten,100.0,1,1,unchanged
BU05182664,Bezuidenhout-West,BU05182664,Bezuidenhout-West,100.0,2,1,unchanged
BU05182665,Bezuidenhout-Midden,BU05182665,Bezuidenhout-Midden,100.0,1,1,unchanged
BU05182666,Bezuidenhout-Oost,BU05182666,Bezuidenhout-Oost,100.0,1,1,unchanged
BU05182718,Huygenspark,BU05182718,Huygenspark,100.0,3,1,unchanged
BU05182762,Rivierenbuurt-Zuid,BU05182762,Rivierenbuurt-Zuid,100.0,2,1,unchanged
BU05182763,Rivierenbuurt-Noord,BU05182763,Rivierenbuurt-Noord,100.0,2,1,unchanged
BU05182811,Kortenbos,BU05182811,Kortenbos,100.0,3,1,unchanged
BU05182812,Voorhout,BU05182812,Voorhout,100.0,5,1,unchanged
BU05182813,Uilebomen,BU05182813,Uilebomen,100.0,3,1,unchanged
BU05182814,Zuidwal,BU05182814,Zuidwal,100.0,4,1,unchanged
BU05182915,Schildersbuurt-West,BU05182915,Schildersbuurt-West,100.0,3,1,unchanged
BU05182916,Schildersbuurt-Noord,BU05182916,Schildersbuurt-Noord,100.0,4,1,unchanged
BU05182917,Schildersbuurt-Oost,BU05182917,Schildersbuurt-Oost,100.0,5,1,unchanged
BU05183032,Transvaalkwartier-Noord,BU05183032,Transvaalkwartier-Noord,100.0,3,1,unchanged
BU05183033,Transvaalkwartier-Midden,BU05183033,Transvaalkwartier-Midden,100.0,3,1,unchanged
BU05183034,Transvaalkwartier-Zuid,BU05183034,Transvaalkwartier-Zuid,100.0,1,1,unchanged
BU05183130,Rustenburg,BU05183130,Rustenburg,100.0,2,1,unchanged
BU05183131,Oostbroek-Noord,BU05183131,Oostbroek-Noord,100.0,1,1,unchanged
BU05183135,Oostbroek-Zuid,BU05183135,Oostbroek-Zuid,100.0,2,1,unchanged
BU05183284,Leyenburg,BU05183284,Leyenburg,100.0,3,1,unchanged
BU05183387,"Venen, Oorden en Raden",BU05183387,"Venen, Oorden en Raden",100.0,1,1,unchanged
BU05183396,"Zijden, Steden en Zichten",BU05183396,"Zijden, Steden en Zichten",100.0,2,1,unchanged
BU05183398,Dreven en Gaarden,BU05183398,Dreven en Gaarden,100.0,1,1,unchanged
BU05183399,De Uithof,BU05183399,De Uithof,100.0,1,1,unchanged
BU05183480,Morgenstond-Zuid,BU05183480,Morgenstond-Zuid,100.0,2,1,unchanged
BU05183488,Morgenstond-West,BU05183488,Morgenstond-West,100.0,1,1,unchanged
BU05183489,Morgenstond-Oost,BU05183489,Morgenstond-Oost,100.0,2,1,unchanged
BU05183536,Zuiderpark,BU05183536,Zuiderpark,100.0,2,1,unchanged
BU05183620,Moerwijk-Oost,BU05183620,Moerwijk-Oost,100.0,1,1,unchanged
BU05183637,Moerwijk-West,BU05183637,Moerwijk-West,100.0,1,1,unchanged
BU05183638,Moerwijk-Noord,BU05183638,Moerwijk-Noord,100.0,1,1,unchanged
BU05183639,Moerwijk-Zuid,BU05183639,Moerwijk-Zuid,100.0,2,1,unchanged
BU05183721,Groente- en Fruitmarkt,BU05183721,Groente- en Fruitmarkt,100.0,3,1,unchanged
BU05183819,Laakhaven-Oost,BU05183819,Laakhaven-Oost,100.0,1,1,unchanged
BU05183822,Laakhaven-West,BU05183822,Laakhaven-West,100.0,5,1,unchanged
BU05183823,Spoorwijk,BU05183823,Spoorwijk,100.0,1,1,unchanged
BU05183824,Laakkwartier-West,BU05183824,Laakkwartier-West,100.0,1,1,unchanged
BU05183825,Laakkwartier-Oost,BU05183825,Laakkwartier-Oost,100.0,1,1,unchanged
BU05183826,Noordpolderbuurt,BU05183826,Noordpolderbuurt,100.0,1,1,unchanged
BU05183960,Binckhorst,BU05183960,Binckhorst,100.0,2,1,unchanged
BU05184001,Erasmus Veld,BU05184001,Erasmus Veld,100.0,1,1,unchanged
BU05184002,Hoge Veld,BU05184002,Hoge Veld,100.0,1,1,unchanged
BU05184003,Parkbuurt oosteinde,BU05184003,Parkbuurt oosteinde,100.0,1,1,unchanged
BU05184004,Lage Veld,BU05184004,Lage Veld,100.0,1,1,unchanged
BU05184005,Zonne Veld,BU05184005,Zonne Veld,100.0,1,1,unchanged
BU05184106,Vlietbuurt,BU05184106,Vlietzoom-West,99.3,4,1,unchanged
BU05184107,Vliegeniersbuurt,BU05184107,Vliegeniersbuurt,100.0,1,1,unchanged
BU05184110,De Reef,BU05184110,De Reef,100.0,1,1,unchanged
BU05184208,Bosweide,BU05184208,Bosweide,100.0,2,1,unchanged
BU05184209,Tedingerbuurt,BU05184209,Tedingerbroek,100.0,1,1,unchanged
BU05184211,De Venen,BU05184211,De Venen,100.0,1,1,unchanged
BU05184212,Morgenweide,BU05184212,Morgenweide,100.0,1,1,unchanged
BU05184213,Singels,BU05184213,Singels,100.0,1,1,unchanged
BU05184214,Waterbuurt,BU05184214,Waterbuurt,100.0,1,1,unchanged
BU05184215,De Bras,BU05184215,De Bras,100.0,1,1,unchanged
BU05184316,Westvliet,BU05184316,Vlietzoom-Oost,100.0,1,1,unchanged
BU05184317,De Rivieren,BU05184317,De Rivieren,100.0,1,1,unchanged
BU05184418,De Lanen,BU05184418,De Lanen,100.0,1,1,unchanged
BU05184419,De Velden,BU05184419,De Velden,100.0,1,1,unchanged
BU05184420,De Vissen,BU05184420,De Vissen,100.0,1,1,unchanged
BU05184421,Rietbuurt,BU05184421,Rietbuurt,100.0,1,1,unchanged
BU05189998,,BU05189998,Buitenwater,93.1,10,1,split
BU05230000,Boven-Hardinxveld,BU05230310,Avelinge diep,30.0,13,1,split
BU05230001,Neder-Hardinxveld,BU05230105,Parallelweg,30.3,14,1,split
